chain,block_date,n_tx
arbitrum,1/1/2025 0:00,1619143
base,1/1/2025 0:00,13394092
optimism,1/1/2025 0:00,667417
arbitrum,1/2/2025 0:00,1951410
base,1/2/2025 0:00,12492205
optimism,1/2/2025 0:00,877279
arbitrum,1/3/2025 0:00,1903385
base,1/3/2025 0:00,12401169
optimism,1/3/2025 0:00,825000
arbitrum,1/4/2025 0:00,1815314
base,1/4/2025 0:00,11736861
optimism,1/4/2025 0:00,901190
arbitrum,1/5/2025 0:00,1722501
base,1/5/2025 0:00,10479200
optimism,1/5/2025 0:00,784736
arbitrum,1/6/2025 0:00,2046325
base,1/6/2025 0:00,11937115
optimism,1/6/2025 0:00,726032
arbitrum,1/7/2025 0:00,2101476
base,1/7/2025 0:00,11194067
optimism,1/7/2025 0:00,856002
arbitrum,1/8/2025 0:00,2488510
base,1/8/2025 0:00,11087719
optimism,1/8/2025 0:00,840937
arbitrum,1/9/2025 0:00,2324032
base,1/9/2025 0:00,11405571
optimism,1/9/2025 0:00,798814
arbitrum,1/10/2025 0:00,2142042
base,1/10/2025 0:00,10626244
optimism,1/10/2025 0:00,820877
arbitrum,1/11/2025 0:00,1744841
base,1/11/2025 0:00,11514575
optimism,1/11/2025 0:00,797256
arbitrum,1/12/2025 0:00,1546136
base,1/12/2025 0:00,11721364
optimism,1/12/2025 0:00,755623
arbitrum,1/13/2025 0:00,3069175
base,1/13/2025 0:00,9569286
optimism,1/13/2025 0:00,1186046
arbitrum,1/14/2025 0:00,2080540
base,1/14/2025 0:00,10854906
optimism,1/14/2025 0:00,859720
arbitrum,1/15/2025 0:00,2167257
base,1/15/2025 0:00,11296721
optimism,1/15/2025 0:00,747089
arbitrum,1/16/2025 0:00,2205001
base,1/16/2025 0:00,10686241
optimism,1/16/2025 0:00,743372
arbitrum,1/17/2025 0:00,2064598
base,1/17/2025 0:00,11058383
optimism,1/17/2025 0:00,723184
arbitrum,1/18/2025 0:00,2593046
base,1/18/2025 0:00,10602115
optimism,1/18/2025 0:00,731949
arbitrum,1/19/2025 0:00,3260831
base,1/19/2025 0:00,9810711
optimism,1/19/2025 0:00,1257340
arbitrum,1/20/2025 0:00,3519441
base,1/20/2025 0:00,9222484
optimism,1/20/2025 0:00,1035935
arbitrum,1/21/2025 0:00,2878908
base,1/21/2025 0:00,10031208
optimism,1/21/2025 0:00,880014
arbitrum,1/22/2025 0:00,2221440
base,1/22/2025 0:00,10968669
optimism,1/22/2025 0:00,759023
