chain,block_date,token_bought_address,token_bought_symbol,token_bought_amount,amount_usd
arbitrum,1/1/2025 0:00,0xaf88d065e77c8cc2239327c5edb3a432268e5831,USDC,86901160.77,86969154.71
arbitrum,1/1/2025 0:00,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT,47433692.85,47372126.47
arbitrum,1/1/2025 0:00,0x2f2a2543b76a4166549f7aab2e75bef0aefc5b0f,WBTC,289.8215045,27141560.1
arbitrum,1/1/2025 0:00,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,36706.45481,122674079.2
arbitrum,1/1/2025 0:00,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,cbBTC,2.1873904,206446.1541
base,1/1/2025 0:00,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,USDC,301212566.5,301443335
base,1/1/2025 0:00,0xfde4c96c8593536e31f229ea8f37b2ada2699bb2,USDT,4405775.241,4402345.77
base,1/1/2025 0:00,0x4200000000000000000000000000000000000006,WETH,170271.447,569380747
base,1/1/2025 0:00,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,cbBTC,1056.029286,99297846.12
optimism,1/1/2025 0:00,0x0b2c639c533813f4aa9d7837caf62653d097ff85,USDC,21293481.21,21309801.08
optimism,1/1/2025 0:00,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,USDT,3913550.662,3908299.73
optimism,1/1/2025 0:00,0x68f180fcce6836688e9084f035309e29bf0a2095,WBTC,9.59208323,898879.3154
optimism,1/1/2025 0:00,0x4200000000000000000000000000000000000006,WETH,7196.304862,24053590
arbitrum,1/2/2025 0:00,0xaf88d065e77c8cc2239327c5edb3a432268e5831,USDC,167109298.8,167152766.6
arbitrum,1/2/2025 0:00,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT,97142151.5,97050005.01
arbitrum,1/2/2025 0:00,0x2f2a2543b76a4166549f7aab2e75bef0aefc5b0f,WBTC,583.7221335,56073892.45
arbitrum,1/2/2025 0:00,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,74918.62572,257679132.7
arbitrum,1/2/2025 0:00,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,cbBTC,3.18532838,308437.0665
base,1/2/2025 0:00,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,USDC,516268708.5,516412292.9
base,1/2/2025 0:00,0xfde4c96c8593536e31f229ea8f37b2ada2699bb2,USDT,9113356.131,9101421.772
base,1/2/2025 0:00,0x4200000000000000000000000000000000000006,WETH,275852.711,947738272.2
base,1/2/2025 0:00,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,cbBTC,2028.286214,195396625.5
optimism,1/2/2025 0:00,0x0b2c639c533813f4aa9d7837caf62653d097ff85,USDC,36089130.59,36098776.48
optimism,1/2/2025 0:00,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,USDT,5952784.051,5946651.881
optimism,1/2/2025 0:00,0x68f180fcce6836688e9084f035309e29bf0a2095,WBTC,14.62857497,1406737.446
optimism,1/2/2025 0:00,0x4200000000000000000000000000000000000006,WETH,11896.93657,40891885.65
arbitrum,1/3/2025 0:00,0xaf88d065e77c8cc2239327c5edb3a432268e5831,USDC,155039979.8,155065908.6
arbitrum,1/3/2025 0:00,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT,85437701.66,85393113.54
arbitrum,1/3/2025 0:00,0x2f2a2543b76a4166549f7aab2e75bef0aefc5b0f,WBTC,506.3421052,49166872.99
arbitrum,1/3/2025 0:00,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,68794.96179,242405357.6
arbitrum,1/3/2025 0:00,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,cbBTC,0.60556353,58941.57059
base,1/3/2025 0:00,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,USDC,362788601.7,362842204.6
base,1/3/2025 0:00,0xfde4c96c8593536e31f229ea8f37b2ada2699bb2,USDT,9182818.492,9175582.264
base,1/3/2025 0:00,0x4200000000000000000000000000000000000006,WETH,224893.8711,791158265
base,1/3/2025 0:00,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,cbBTC,1442.235597,140574794.9
optimism,1/3/2025 0:00,0x0b2c639c533813f4aa9d7837caf62653d097ff85,USDC,30313070.34,30317630.42
optimism,1/3/2025 0:00,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,USDT,4867701.26,4865112.49
optimism,1/3/2025 0:00,0x68f180fcce6836688e9084f035309e29bf0a2095,WBTC,18.07607563,1756066.487
optimism,1/3/2025 0:00,0x4200000000000000000000000000000000000006,WETH,11975.77239,42214533.91
arbitrum,1/4/2025 0:00,0xaf88d065e77c8cc2239327c5edb3a432268e5831,USDC,110536246.1,110548610.2
arbitrum,1/4/2025 0:00,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT,56636118.46,56630693.68
arbitrum,1/4/2025 0:00,0x2f2a2543b76a4166549f7aab2e75bef0aefc5b0f,WBTC,351.3937636,34358114.7
arbitrum,1/4/2025 0:00,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,53312.77779,193001046.7
arbitrum,1/4/2025 0:00,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,cbBTC,1.3873653,136121.9989
base,1/4/2025 0:00,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,USDC,285574846.1,285601661.2
base,1/4/2025 0:00,0xfde4c96c8593536e31f229ea8f37b2ada2699bb2,USDT,7141291.774,7140924.595
base,1/4/2025 0:00,0x4200000000000000000000000000000000000006,WETH,183721.2277,664594357.6
base,1/4/2025 0:00,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,cbBTC,1304.98314,127961701
