chain,block_date,token_address,token_symbol,open,high,low,close
base,12/31/2025 0:00,0x4200000000000000000000000000000000000006,WETH,2965.56034,2999.061878,2965.56034,2971.3398
base,12/30/2025 0:00,0x4200000000000000000000000000000000000006,WETH,2934.381437,2983.851283,2930.093729,2968.934227
base,12/29/2025 0:00,0x4200000000000000000000000000000000000006,WETH,2957.186178,3041.20248,2924.500326,2935.835606
base,12/28/2025 0:00,0x4200000000000000000000000000000000000006,WETH,2948.359611,2952.048119,2932.345169,2946.783583
base,12/27/2025 0:00,0x4200000000000000000000000000000000000006,WETH,2927.249068,2940.6791,2923.334952,2940.6791
base,12/26/2025 0:00,0x4200000000000000000000000000000000000006,WETH,2902.633856,2976.662466,2902.633856,2929.012797
base,12/25/2025 0:00,0x4200000000000000000000000000000000000006,WETH,2944.832916,2958.962688,2911.769144,2911.769144
base,12/24/2025 0:00,0x4200000000000000000000000000000000000006,WETH,2962.884309,2968.489846,2916.033237,2952.020359
base,12/23/2025 0:00,0x4200000000000000000000000000000000000006,WETH,3014.996388,3023.525403,2919.927344,2961.440563
base,12/22/2025 0:00,0x4200000000000000000000000000000000000006,WETH,3019.817909,3055.423573,2976.538166,3006.952029
base,12/21/2025 0:00,0x4200000000000000000000000000000000000006,WETH,2979.070328,3002.376862,2961.77263,2999.695951
base,12/20/2025 0:00,0x4200000000000000000000000000000000000006,WETH,2976.862798,2988.066012,2976.06151,2977.273119
base,12/19/2025 0:00,0x4200000000000000000000000000000000000006,WETH,2826.365817,2988.871149,2823.870075,2984.563318
base,12/18/2025 0:00,0x4200000000000000000000000000000000000006,WETH,2832.22954,2958.60644,2795.072747,2828.414817
base,12/17/2025 0:00,0x4200000000000000000000000000000000000006,WETH,2952.996366,2979.321524,2808.862241,2827.267741
base,12/16/2025 0:00,0x4200000000000000000000000000000000000006,WETH,2965.888256,2965.888256,2919.786971,2955.317992
base,12/15/2025 0:00,0x4200000000000000000000000000000000000006,WETH,3066.800666,3158.204052,2929.058057,2958.368551
base,12/14/2025 0:00,0x4200000000000000000000000000000000000006,WETH,3115.327195,3123.574687,3064.821126,3064.821126
base,12/13/2025 0:00,0x4200000000000000000000000000000000000006,WETH,3088.823071,3125.998085,3087.69303,3114.871302
base,12/12/2025 0:00,0x4200000000000000000000000000000000000006,WETH,3233.52778,3255.734928,3068.612809,3091.90323
base,12/11/2025 0:00,0x4200000000000000000000000000000000000006,WETH,3299.065417,3299.065417,3172.632617,3237.91353
base,12/10/2025 0:00,0x4200000000000000000000000000000000000006,WETH,3318.305412,3400.925866,3303.0369,3339.435815
base,12/9/2025 0:00,0x4200000000000000000000000000000000000006,WETH,3127.885277,3375.241034,3106.647576,3327.656137
base,12/8/2025 0:00,0x4200000000000000000000000000000000000006,WETH,3060.182715,3159.032491,3060.182715,3126.838809
base,12/7/2025 0:00,0x4200000000000000000000000000000000000006,WETH,3042.350251,3139.404682,2970.117046,3042.259546
base,11/11/2025 0:00,0x4200000000000000000000000000000000000006,WETH,3566.283931,3618.906538,3423.7603,3424.495735
base,11/10/2025 0:00,0x4200000000000000000000000000000000000006,WETH,3600.372303,3637.231187,3524.213222,3573.207839
base,11/9/2025 0:00,0x4200000000000000000000000000000000000006,WETH,3389.18995,3584.173936,3371.027755,3584.173936
base,11/8/2025 0:00,0x4200000000000000000000000000000000000006,WETH,3429.498348,3460.90772,3374.417702,3409.968323
base,11/7/2025 0:00,0x4200000000000000000000000000000000000006,WETH,3316.19626,3460.262886,3228.448234,3441.540558
base,11/6/2025 0:00,0x4200000000000000000000000000000000000006,WETH,3407.472133,3440.298441,3289.420408,3305.441685
base,11/5/2025 0:00,0x4200000000000000000000000000000000000006,WETH,3266.872471,3462.011636,3201.865191,3427.776081
base,11/4/2025 0:00,0x4200000000000000000000000000000000000006,WETH,3601.896866,3638.959009,3146.077361,3268.612551
