chain,block_date,token_address,token_symbol,token_amount_borrowed,amount_usd
arbitrum,1/1/2025,0x2f2a2543b76a4166549f7aab2e75bef0aefc5b0f,WBTC,3.85254021,359793.4556
arbitrum,1/1/2025,0xaf88d065e77c8cc2239327c5edb3a432268e5831,USDC,5198821.552,5202838.284
arbitrum,1/1/2025,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT,450511.6514,449924.6815
arbitrum,1/1/2025,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,1645.845328,5484859.361
base,1/1/2025,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,cbBTC,233.9453647,21883343.23
base,1/1/2025,0x4200000000000000000000000000000000000006,WETH,82161.22782,274920102.9
base,1/1/2025,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,USDC,210721249.9,210877590.8
optimism,1/1/2025,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,USDT,82382.99578,82270.82366
optimism,1/1/2025,0x4200000000000000000000000000000000000006,WETH,231.9417996,774313.0415
optimism,1/1/2025,0x0b2c639c533813f4aa9d7837caf62653d097ff85,USDC,9505952.465,9512894.864
optimism,1/1/2025,0x68f180fcce6836688e9084f035309e29bf0a2095,WBTC,0.0117,1092.283796
arbitrum,1/2/2025,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT,1242528.942,1241304.411
arbitrum,1/2/2025,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,2067.216949,7140879.944
arbitrum,1/2/2025,0x2f2a2543b76a4166549f7aab2e75bef0aefc5b0f,WBTC,3.40730906,328722.7125
arbitrum,1/2/2025,0xaf88d065e77c8cc2239327c5edb3a432268e5831,USDC,6016253.173,6018109.498
base,1/2/2025,0x4200000000000000000000000000000000000006,WETH,91709.61901,313917053.1
base,1/2/2025,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,cbBTC,1306.677664,126391402.1
base,1/2/2025,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,USDC,172091690.5,172154415.2
optimism,1/2/2025,0x0b2c639c533813f4aa9d7837caf62653d097ff85,USDC,9196293.307,9198628.7
